,0
2132,623
2133,830
2134,1017
2135,904
2136,820
2137,789
2138,685
2139,562
2140,1771
2141,1424
2142,1279
2143,1061
2144,973
2145,873
2146,783
2147,667
2148,685
2149,621
2150,642
2151,544
2152,490
2153,602
2154,906
2155,656
2156,561
2157,690
2158,740
2159,617
2160,827
2161,1979
2162,1167
2163,1105
2164,979
2165,663
2166,710
2167,763
2168,749
2169,657
2170,475
2171,774
2172,547
2173,540
2174,700
2175,688
2176,793
2177,932
2178,761
2179,963
2180,952
2181,1940
2182,2037
2183,1349
2184,1588
2185,1282
2186,1104
2187,1235
2188,865
2189,1238
2190,1147
2191,1026
2192,912
2193,895
2194,968
2195,1394
2196,1728
2197,1670
2198,2325
2199,1582
2200,2358
2201,1588
2202,1558
2203,1937
2204,1787
2205,1284
2206,1221
2207,1318
2208,1423
2209,1590
2210,1545
2211,1528
2212,1161
2213,1315
2214,832
2215,1139
2216,1616
2217,1714
2218,1493
2219,1314
2220,1086
2221,870
2222,938
2223,1787
2224,2121
2225,1757
2226,1735
2227,1578
2228,1437
2229,1900
2230,1454
2231,1570
2232,1966
2233,1852
2234,1123
2235,935
2236,1344
2237,1422
2238,1486
2239,843
2240,778
2241,804
2242,968
2243,1331
2244,1930
2245,1645
2246,1365
2247,1300
2248,1417
2249,1395
2250,954
2251,1177
2252,1334
2253,1360
2254,1218
2255,1214
2256,1178
2257,1436
2258,1119
2259,1345
2260,1250
2261,1040
2262,671
2263,722
2264,1339
2265,1881
2266,1518
2267,1949
2268,1715
2269,1480
2270,1439
2271,1358
2272,1538
2273,1387
2274,1447
2275,2018
2276,1429
2277,1512
2278,1526
2279,3847
2280,1495
2281,1521
2282,2008
2283,1553
2284,1604
2285,1414
2286,1460
2287,1209
2288,1039
2289,1013
2290,1170
2291,1010
2292,1081
2293,1468
2294,1282
2295,1890
2296,1274
2297,1033
2298,854
2299,899
2300,615
2301,3828
2302,666
2303,603
2304,665
2305,1365
2306,1361
2307,2279
2308,1152
2309,990
2310,1009
2311,905
2312,999
2313,906
2314,610
2315,734
2316,816
2317,853
2318,975
2319,1018
2320,992
2321,901
2322,708
2323,778
2324,762
2325,744
2326,1124
2327,1008
2328,903
2329,709
2330,677
2331,819
2332,860
2333,748
2334,628
2335,664
2336,700
2337,732
2338,638
2339,750
2340,952
2341,957
2342,904
2343,742
2344,780
2345,635
2346,1874
2347,1773
2348,1208
2349,1336
2350,1233
2351,1243
2352,1661
2353,1810
2354,1685
2355,1722
2356,1836
2357,1777
2358,2212
2359,2010
2360,2012
2361,1917
2362,1269
2363,1427
2364,1051
2365,2027
2366,1371
2367,1288
2368,1532
2369,1248
2370,1366
2371,1388
2372,1410
2373,1221
2374,874
2375,663
2376,700
2377,677
2378,524
2379,1342
2380,1375
2381,1120
2382,1033
2383,1293
2384,1452
2385,1379
2386,2152
2387,3249
2388,1974
2389,2074
2390,1505
2391,1444
2392,1347
2393,1153
2394,1101
2395,1236
2396,1115
2397,831
2398,1234
2399,1358
2400,2117
2401,1930
2402,1410
2403,1924
2404,1620
2405,1367
2406,1750
2407,2064
2408,1720
2409,1206
2410,969
2411,1566
2412,1531
2413,1484
2414,1618
2415,1308
2416,1182
2417,800
2418,1199
2419,857
2420,617
2421,1412
2422,2382
2423,2564
2424,2019
2425,1791
2426,1440
2427,1734
2428,1819
2429,2716
2430,1667
2431,1707
2432,1502
2433,1644
2434,1800
2435,1602
2436,1491
2437,1447
2438,1579
2439,1548
2440,958
2441,1236
2442,1346
2443,1321
2444,1342
2445,1438
2446,1383
2447,1478
2448,1130
2449,1071
2450,1211
2451,1081
2452,986
2453,901
2454,747
2455,864
2456,844
2457,870
2458,751
2459,979
2460,966
2461,1103
2462,784
2463,814
2464,1011
2465,1110
2466,724
2467,830
2468,938
2469,857
2470,814
2471,1779
2472,1875
2473,1710
2474,1137
2475,1066
2476,955
2477,840
2478,1127
2479,943
2480,1111
2481,1160
2482,828
2483,846
2484,743
2485,914
2486,879
2487,758
2488,906
2489,893
2490,824
2491,1514
2492,1176
2493,877
2494,786
2495,930
2496,793
2497,1162
2498,866
2499,852
2500,778
2501,801
2502,743
2503,858
2504,710
2505,717
2506,793
2507,618
2508,673
2509,675
2510,1450
2511,1244
2512,2674
2513,1530
2514,1073
2515,842
2516,881
2517,864
2518,915
2519,861
2520,750
2521,1063
2522,935
2523,648
2524,741
2525,745
2526,883
2527,969
2528,804
2529,801
2530,716
2531,854
2532,1076
2533,1840
2534,1870
2535,1360
2536,1249
2537,778
2538,985
2539,1064
2540,1306
2541,1482
2542,1250
2543,1360
2544,1333
2545,1375
2546,1125
2547,1412
2548,1224
2549,1123
2550,1070
2551,669
2552,1100
2553,2379
2554,2688
2555,2223
2556,1113
2557,1626
2558,1900
2559,1838
2560,1910
2561,1867
2562,2165
2563,2631
2564,2309
2565,2657
2566,2080
2567,1649
2568,1985
2569,1414
2570,1445
2571,1031
2572,991
2573,942
2574,1627
2575,1377
2576,1227
2577,1201
2578,1263
2579,1235
2580,1323
2581,917
2582,819
2583,970
2584,984
2585,1233
2586,993
2587,1066
2588,976
2589,1091
2590,1001
2591,834
2592,1055
2593,1930
2594,2450
2595,2567
2596,2126
2597,1920
2598,1538
2599,1751
2600,1479
2601,1746
2602,1860
2603,1249
2604,1609
2605,1151
2606,1054
2607,1281
2608,1191
2609,1233
2610,1180
2611,1130
2612,1081
2613,745
2614,812
2615,1259
2616,887
2617,906
2618,650
2619,571
2620,690
2621,731
2622,668
2623,614
2624,857
2625,702
2626,673
2627,632
2628,619
2629,762
2630,1007
2631,938
2632,748
2633,786
2634,626
2635,1166
2636,2149
2637,1857
2638,1355
2639,1015
2640,1654
2641,932
2642,1167
2643,1053
2644,1017
2645,937
2646,1053
2647,877
2648,934
2649,1023
2650,994
2651,905
2652,1405
2653,1022
2654,964
2655,1070
2656,1108
2657,1066
2658,1121
2659,851
2660,603
2661,989
2662,824
2663,780
2664,634
2665,567
2666,882
2667,715
2668,829
2669,807
2670,1152
2671,941
2672,781
2673,795
2674,846
2675,1082
2676,587
2677,1507
2678,1489
2679,1287
2680,2212
2681,1251
2682,1247
2683,1116
2684,1231
2685,1049
2686,1210
2687,1047
2688,1011
2689,1966
2690,2448
2691,1740
2692,1490
2693,1996
2694,1878
2695,2575
2696,2658
2697,2490
2698,1274
2699,1110
2700,965
2701,1733
2702,1863
2703,1650
2704,1178
2705,863
2706,729
2707,595
2708,779
2709,751
2710,747
2711,703
2712,997
2713,947
2714,1198
2715,1525
2716,729
2717,784
2718,1241
2719,2000
2720,1687
2721,2010
2722,1971
2723,1989
2724,1667
2725,1940
2726,1375
2727,1414
2728,1190
2729,1178
2730,1093
2731,978
2732,1229
2733,923
2734,1035
